Horticulture,Gas Stations,Microfinance Institutions (MFIs),Handicraft,Dyes and Dye Chemicals,Importers,Industrial Training Institutes (ITIs),Natural Gas,"Molding, Fabrication and Forging",Event Planners & Supplies,Food And Drink Importation,FMCG Material Handling,Food Ingredients & Additives,,Denim wear,Jewellery Mfg,"Pharmacy, Drug & Vitamin Stores",Healthcare Plans,Graphics,,Specialty Coatings,Paper Wholesaler/Retailer,Shoe Repairs,Formulations,Plastics,Govt Employee,Electricians,Digital Printing,Education,Lamination Importers
Importers,Motorcycle Sales & Repair,NBFCs (Non-Banking Financial Company),Health & Medicine,Exporters,Lab Grown Diamond,Institutes,Nuclear energy,Pressure Die Cast,Exhibitions,Government & Regulatory Bodies,FMCG Retailers,Food Processing,,Embroidery & Appliqués,Jewellery Mfg.,Physical Therapy,Hospitals and Clinics,Internet of Things (IoT),,Trading,Printing Press,Tailors,Generic Drug Manufacturers,Retailers / Wholesaler,Graphic Designer,Inspectors,"Dyeing, Printing & Finishing",Entertainment,Lamination Wholesaler/Retailer
Mfg,Rental & Leasing,Private Banking,Healthcare & Life Sciences,Importers,Lab Grown Diamond Exporters,Logistics & Transportation,Petroleum Products,Service Provider,Fashion,Logistics & Supply Chain Services,FMCG Wholesalers,Food Products,,Fabric Importers,Jewellery Retailers,Physicians & Assistants,Laboratory,Internet Service Provider (ISP),,,Stationary Equipments mfg,,Hospital,Rubber,Human Resources,Real Estate Bldg. Materials Mfg.,Elastic & Lace,Farmhouse Accommodation And Agri-Tourism,Sustainable & Recycled Wood
Organic & Sustainable Farming,Ride-Sharing & Aggregators,Private Banking / Wealth Management,Hospitality & Tourism,Intermediates,Lab Grown Diamond Manufacturer,Pre-Primary Education,Power Generation,Steel,Festivals,Merchant Exporter/ Importer,Food Mfg,Frozen Foods,,Fabric Mfg,Jewellery Trading,Podiatry,Managed Healthcare,IT Services & Consulting,,,Stationary Wholesaler/retailer,,Importers,Trading,IT Professional,Real Estate Brokers,Embroidery Unit,Financial Services,Wood
Poultry,"Service, Repair & Parts",PSU Banking,Hotel & Restaurant,Manufacturer,Manufacturer,Professional Education,Renewable Energy,Trading,Golf Courses,Opposite Trade,Health & Hygiene,Grains,,Fabric Trading,Precious and Semi-Precious Stones,Social Worker,Medical And Diagnostic Laboratories,Networking & IT Infrastructure,,,Trading,,Laboratory,Warehousing,Journalists,Real Estate Builder,Fabric Import / Export,Food Services,Wood Coatings & Finishes
Sericulture,Towing,Regional Rural Banks,Information Technology & IT-Enabled Services (ITES),organic & Inorganic,Precious And Semi-Precious Stones,Skill Development Centers,Solar,Water Disinfection System,Movies,Packaging & Labeling Services,Household Care,Importer,,Fabrics & Garments Exports,,Veterinary & Animal Surgeons,Medical Device,Office Automation,,,Warehousing,,Manufacturing,,Photographer,Real Estate Contractor,Fabric Manufacturer,Hotel,Wood Exporters
Trading,Petrol Pumps,Small Finance Banks,Logistics & Transportation,Pigments,Rough Diamond Extraction,Student,Solar Energy,Rain Water Refine/Storage & Re-Use System,Photography / Videography,Product-Based Export/Import,Importers,Mfg,,Garment Machinery,,,Medical Equipment,Semiconductors & Semiconductor Equipment,,,,,Medicines,,Physical Therapist,Real Estate Exporters,Fabric Trading,Hotel/ Resort,Wood Importers
,Electric Vehicles,Stock Broking,Manufacturing & Industrial,Specialty Chemicals,Rough Diamond Import / Export,University,Thermal,Electrical Contractor,Productions,Shipping Line Agent,Logistics,Mouth Freshener,,Garment Retail & Distribution,,,Medical Equipment Or Drugs,Software,,,,,Pharma Distribution,,Project Consultants,Real Estate Importers,Fiber and Filament Manufacturing,Railway,Wood Wholesaler/Retailer
,,Urban Co-Op. Society,Marketing & Communications,Trading,Rough Diamond Trading,Foreign Languages Institutes,Transmission & Distribution,Labour Contractor,Promotion & Marketing,,Malls,Poultry,,"Laces, Ribbons & Elastics",,,Nutrition And Diet,Software and Services,,,,,Pharma Marketing,,Sales Representative,Real Estate Investor,Garments and Apparel,Shopping,Wooden Articles
,,Bank Manager,Media & Entertainment,,Trading,,Wind,Pipes,"Sound, Light & AV Rentals",,Material Handling,Soft Drinks & Beverages,,Linen clothing,,,Optometrists,Technology Hardware and Equipment,,,,,Pharmaceuticals,,Scientist,Real Estate Trading,Geotextiles,Tour Operators,Home appliances
,,Bank PO (Bank Probationary Officer),Office Supplies,,,,,,Stage Design & Setup,,Packaging & Logistics,Spices & Condiments,,Polyester / Synthetic,,,Pharmaceuticals,Telecom,,,,,Research & Development (R&D),,Self Employed,Roofers,"Ginning, Spinning Unit",Tourism,Kitchen Basket & shelf
,,Bank (Clerk),Printing & Publishing,,,,,,Talent & Creative Agencies,,Retailers,Tobacco,,Rayon / Viscose,,,Pharmaceuticals & Related Segments,Content Writer,,,,,Retailers / Wholesaler,,Speaker,Surveyors,Home Textile,Tourism Organisations,Kitchen Decor
,,Debt Recovery Agency,Professional Services,,,,,,Weddings,,Retailing & Shops,Trading,,Ready Made Garment Mfg,,,Physical Therapists,,,,,,,,Tax Practitioners,Rental Income,Industrial Textile,Transportation,
,,,Real Estate & Construction,,,,,,,,Warehousing,,,Silk garments,,,Societies Associated with Healthcare,,,,,,,,Teacher,,Lace Mfg,Travel Agencies,
,,,Retail & Consumer Goods,,,,,,,,Wholesalers,,,Technical & Functional Garments,,,Eye Specialist,,,,,,,,Training Programmes,,Manufacturing Unit,Travel Insurance & Assistance,
,,,Travel & Transportation,,,,,,,,,,,Woolen wear,,,Skin Care,,,,,,,,Life Coach/Motivational Speaker,,Medical Textiles,,
,,,Online Business,,,,,,,,,,,,,,Homeopathy,,,,,,,,Lawyer,,Narrow Fabrics,,
,,,RO-Water Plant Business,,,,,,,,,,,,,,,,,,,,,,Fire & Safety,,Narrow Woven Fabric Manufacturer,,
,,,Advertisement,,,,,,,,,,,,,,,,,,,,,,Astrologer,,Natural Fibers,,
,,,,,,,,,,,,,,,,,,,,,,,,,Athletes/Sports Person,,Non Woven Textile,,
,,,,,,,,,,,,,,,,,,,,,,,,,Legal Advisor,,Power Looms,,
,,,,,,,,,,,,,,,,,,,,,,,,,Accountant,,Processing Unit,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ex-Govt Employee,,Protective Clothing,,
,,,,,,,,,,,,,,,,,,,,,,,,,Social Worker,,Shuttleless Looms,,
,,,,,,,,,,,,,,,,,,,,,,,,,Member Retired,,Synthetic & Blended Fibers,,
,,,,,,,,,,,,,,,,,,,,,,,,,House Wife,,Technical Textile,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Textile Embroidery Mfg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Textile Engineering,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Textile Exporters,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Textile Importers,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Textile Machine Mfg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Textile Machinery Importer,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Textile Machinery Trader,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Textile Manufacturer,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Textile Spinning,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Textile Trading,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Textile Weavers & Knitters,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Textile Yarn Importers / Exporters,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Textile Yarn Mfg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Textile Yarn Trading,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Weaving Exporter,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Weaving Importer,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Weaving Mfg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Weaving Trading,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarn Merchant,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sticker Printing/Label/Tag,,
